FM;Climate;Year;Fert;Soil;Crop;FMSoil;FMCrop;FMFert;Y;WPET
W30;Mekelle;Normal;Poor  ;CL;Medium;W30_CL;W30_Medium;W30_Poor  ;-21.8;-23.7
W30;Mekelle;Normal;ANon limiting  ;CL;Short;W30_CL;W30_Short;W30_ANon limiting  ;-22.8;-23.9
W30;Mekelle;Normal;Moderate  ;CL;Short;W30_CL;W30_Short;W30_Moderate  ;-21.9;-23.4
W30;Mekelle;Normal;Poor  ;CL;Short;W30_CL;W30_Short;W30_Poor  ;-20.9;-23.2
W30;Mekelle;Normal;ANon limiting  ;LS;Long;W30_LS;W30_Long;W30_ANon limiting  ;-19.3;-18.9
W30;Mekelle;Normal;Moderate  ;LS;Long;W30_LS;W30_Long;W30_Moderate  ;-23.9;-25.3
W30;Mekelle;Normal;Poor  ;LS;Long;W30_LS;W30_Long;W30_Poor  ;-21.9;-23.2
W30;Mekelle;Normal;ANon limiting  ;LS;Medium;W30_LS;W30_Medium;W30_ANon limiting  ;-18.1;-18.5
W30;Mekelle;Normal;Moderate  ;LS;Medium;W30_LS;W30_Medium;W30_Moderate  ;-23.1;-23.8
W30;Mekelle;Normal;Poor  ;LS;Medium;W30_LS;W30_Medium;W30_Poor  ;-23.3;-24.3
W30;Mekelle;Normal;ANon limiting  ;LS;Short;W30_LS;W30_Short;W30_ANon limiting  ;-23.1;-23.5
W30;Mekelle;Normal;Moderate  ;LS;Short;W30_LS;W30_Short;W30_Moderate  ;-23.7;-24.7
W30;Mekelle;Normal;Poor  ;LS;Short;W30_LS;W30_Short;W30_Poor  ;-22.4;-23.1
W30;Mekelle;Normal;ANon limiting  ;S;Long;W30_S;W30_Long;W30_ANon limiting  ;-17.7;-18.9
W30;Mekelle;Normal;Moderate  ;S;Long;W30_S;W30_Long;W30_Moderate  ;-21.1;-22.5
W30;Mekelle;Normal;Poor  ;S;Long;W30_S;W30_Long;W30_Poor  ;-21.5;-22.8
W30;Mekelle;Normal;ANon limiting  ;S;Medium;W30_S;W30_Medium;W30_ANon limiting  ;-18.3;-19.1
W30;Mekelle;Normal;Moderate  ;S;Medium;W30_S;W30_Medium;W30_Moderate  ;-19.8;-21.8
W30;Mekelle;Normal;Poor  ;S;Medium;W30_S;W30_Medium;W30_Poor  ;-21.1;-21.4
W30;Mekelle;Normal;ANon limiting  ;S;Short;W30_S;W30_Short;W30_ANon limiting  ;-18.9;-19.9
W30;Mekelle;Normal;Moderate  ;S;Short;W30_S;W30_Short;W30_Moderate  ;-21.7;-22.9
W30;Mekelle;Normal;Poor  ;S;Short;W30_S;W30_Short;W30_Poor  ;-21.2;-22.2
